工事コード,名称,摘要,単位,発注単価,見積単価,数量根拠
30060,標準外工事,曲がり1カ所,ヶ所,2000,2900,※木工事内エアコン関連
30101,基本手間,【ALL金物工法】,坪,30000,42900,施工床面積
30102,外周入隅（玄関は基本に含む・袖壁は必要）,,ヶ所,5000,7200,
30103,ﾍﾞﾗﾝﾀﾞ･ﾎﾟｰﾁ･ﾃﾗｽ,,㎡,6000,8600,
30104,新ﾃﾝﾌﾟﾚｰﾄ用調整費,,式,100000,142900,
30105,片引き戸造作手間,,ヶ所,11000,15800,
30106,下屋,床㎡(1階-2階) 6寸未満,㎡,2000,2900,
30107,外部耐力面材貼り(ﾀﾞｲﾗｲﾄ),床㎡,㎡,1000,1500,
30108,軒天下地,5㎡まで基本に含む,㎡,1000,1500,※新規追加
30109,軒天張り手間,5㎡まで基本に含む,㎡,1000,1500,※新規追加
30110,中段･枕棚取付,基本 4ヶ所,ヶ所,3000,4300,
30111,ｸﾛｰｾﾞｯﾄ･収納･WIC造作,基本 4ヶ所,ヶ所,8000,11500,
30112,床の間･仏間造作,,ヶ所,9000,12900,
30113,階段（非フルプレカット）,,ヶ所,20000,28600,
30114,階段下収納・トイレ　造作,,ヶ所,20000,28600,
30115,床ガラリ取付,,ヶ所,2000,2900,
30116,壁・天井　断熱材手間　,床㎡換算,㎡,500,800,
30117,省令準耐火手間代,,㎡,1000,1500,
30118,床上げ加工,畳ｺｰﾅｰ・小上がり・ｽｷｯﾌﾟﾌﾛｱ,㎡,4000,5800,※新規追加
30119,壁ふかし工事,材工,ｍ,18000,25800,※新規追加
30120,建て方ﾚｯｶｰ費,,式,55000,78600,定数1式
30121,【含み予算】瑕疵担保責任保険 JIO,基本(100㎡未満),式,50000,71500,
30122,【含み予算】瑕疵担保責任保険 JIO,100㎡以上の追加分,㎡,400,580,
30123,【含み予算】二次防水検査費用,JIO,式,15000,21500,
30124,【含み予算】地盤調査･保証,JHS 20年保証+液状化,式,75000,107200,
30125,【含み予算】設備保証,延長10年 Solvvy,式,52000,74300,
30126,【含み予算】地震保証,ｱｾｯﾄｼﾞｬﾊﾟﾝ,式,95000,135800,
30127,【含み予算】現場調査費,,式,60000,85800,定数1式
30128,LDK下がり天井造作,追加手間,ｍ,5000,7200,
30129,●33調整分（大工手間）,,式,0,475000,見積調整用
40001,壁断熱材,ﾊﾟｰﾌｪｸﾄﾊﾞﾘｱ 13K106㎜,㎡,1450,2100,外気に接する桁下まで面積から集計
40002,天井断熱材,ﾊﾟｰﾌｪｸﾄﾊﾞﾘｱ 13K240㎜,㎡,3480,5000,屋根下部屋面積から水平投影面積で集計
40003,2階直下天井吸音材,ﾊﾟｰﾌｪｸﾄﾊﾞﾘｱ 10K70㎜,㎡,660,950,
40004,基礎断熱 外周立上り(内側),ｶﾈﾗｲﾄﾌｫｰﾑFX t50　ﾌﾟﾚｶｯﾄ品を3'×6'品単価に,枚,2900,4200,
40005,基礎断熱 外周土間,ｶﾈﾗｲﾄﾌｫｰﾑFX t50　3'×6'品素材単価,枚,2650,3800,
40006,内部土間床,ｶﾈﾗｲﾄﾌｫｰﾑFX t50　3'×6'品素材単価,枚,2650,3800,
40007,内部・ポーチ部土間床,ｶﾈﾗｲﾄﾌｫｰﾑ　ｽｰﾊﾟｰE-Ⅰ・t=100㎜,枚,3200,4600,
40008,可変透湿気密ｼｰﾄ,すかっとｼｰﾄﾌﾟﾚﾐｱﾑ,本,22500,32200,
40009,気密ﾃｰﾌﾟ 20m/巻,20巻/ｹｰｽ,ｹｰｽ,14000,20000,
40010,気密ｼｰﾄ貼り手間,,㎡,500,720,
40011,気流止め 断熱材充填,,㎡,250,360,
40012,気密手間,大工手間,坪,2000,2900,
50001,小屋裏換気(鋼板屋根用),,㎡,800,1200,※条件01=1の場合
50002,小屋裏換気(瓦屋根用),,㎡,350,500,※条件01=0の場合（新規追加）
50003,鋼板屋根　荷揚げ費,,式,25000,35800,※条件01=1の場合
50004,SGL鋼板 たてひら葺,ﾆｽｸｶﾗｰPro ※唐草･棟含む,㎡,4950,7100,※条件01=1の場合
50005,平板瓦葺（切妻/寄棟）,ｾﾗﾑFF程度　標準勾配　ｼｽﾃﾑ瓦対応,㎡,5000,7200,※条件01=0の場合（新規追加）
60001,軒樋,ﾕﾆｼｪｲﾌﾟUST140,ｍ,2800,4000,屋根S 軒樋長さから集計 ※ない場合は簡易計算
60002,集水器,,ヶ所,2000,2900,屋根S 集水器数から集計 ※ない場合は簡易計算
60003,竪樋,ﾕﾆｼｪｲﾌﾟURT60,ｍ,1600,2300,屋根S 竪樋長さから集計 ※ない場合は簡易計算
70001,玄関ドア　片開き　手動錠,LIXIL ｼﾞｴｽﾀ2 M22型　K2仕様　ｱﾙﾐ色/木目調,ｾｯﾄ,113700,162500,
70002,玄関ドア　片開き　手動錠,YKKapヴェナートD30　F01N 型　D2仕様,ｾｯﾄ,98900,141300,※YKKap追加
70003,電気錠　LIXIL　ファミロック,タグキー基本セット+収納リモコン2個セット　電源共,ｾｯﾄ,47200,67500,
70004,電気錠　YKKap,ポケットキー　電源共,ｾｯﾄ,41200,58900,※YKKap追加
