工事コード,名称,摘要,単位,発注単価,見積単価,数量根拠
170014,屋外ﾌｰﾄﾞ:φ100 準防火用,FPD-100 金網無し･ｶﾗｰ品（防火ﾀﾞﾝﾊﾟｰ付き）,個,2030,2900,
170015,屋外ﾌｰﾄﾞ:φ150 一般用,FP-150□□T 金網無し･ｶﾗｰ品 ※24H用,個,2750,4000,
170016,屋外ﾌｰﾄﾞ:φ150 準防火用,,個,6000,8600,
180001,富士通ゼネラル　ノクリア　VHシリーズ5.6ｋｗ(200V),AS-VH565S2　LDK用(18畳用)　※標準工事費込,台,132000,189000,
180002,富士通ゼネラル　ノクリア　VHシリーズ4.0ｋｗ(100V),AS-VH405R　LDK用標準機種　※標準工事費込,台,122000,175000,※新規追加
180003,富士通ゼネラル　ノクリア　VHシリーズ2.8kw(100V),AS-VH285R　寝室用標準機種　※標準工事費込,台,106000,152000,※新規追加
180004,富士通ゼネラル　ノクリア　VHシリーズ2.2kw(100V),AS-VH225S　寝室用(6畳用)　※標準工事費込,台,86000,123000,
180005,※エアコン仕様は要打合せ,,,0,0,
180006,無線LANアダプター,"W,VH,RH,CHシリーズ対応",個,3500,5000,
180007,標準外工事,2階から1階への延長配管,ヶ所,10000,14500,
180008,標準外工事,曲がり1カ所,ヶ所,2000,2900,
180009,ｴｱｺﾝ用隠ぺい配管,配管延長3M,ヶ所,39000,55800,
190001,太陽光発電システム工事,長州産業 5.09kw等,式,687150,981700,※新規工事種別
200001,ﾕｰﾃｨﾘﾃｨｰ　ｶｳﾝﾀｰ W1.0m以下　材工,ゴム集成又はﾎﾟｽﾄﾌｫｰﾑKAA相当,ヶ所,25600,36600,
200002,ﾃﾞｨｽﾌﾟﾚｲ棚　ｶｳﾝﾀｰ W2.0m以下　材工,ゴム集成又はﾎﾟｽﾄﾌｫｰﾑKAA相当,ヶ所,40000,57200,※新規追加
200003,ﾋﾟｱﾉ室　ｶｳﾝﾀｰ W2.0m以下　材工,ゴム集成又はﾎﾟｽﾄﾌｫｰﾑKAA相当,ヶ所,40000,57200,
200004,脱衣室造作棚,予算組,式,70000,100000,
210001,清掃工事,,㎡,310,450,
210002,天井点検口,450角　材工,個,14000,20000,各階に1個で集計
210003,床下点検口,600角　材工,個,23000,32900,内部S 床下点検口数から集計 ※ない場合1個
210004,室内物干し金物:KACU 146U-BK/WH,ｱﾙﾐ製 材工,ｾｯﾄ,9600,13800,
210005,室内物干し金物:ﾎｽｸﾘｰﾝ SPC-W×2本,ﾘﾝｸﾞﾀｲﾌﾟ 材工,ｾｯﾄ,12400,17800,※新規追加
220001,屋外給排水工事,,式,536520,775600,※物件別設定
220002,●共通仮設工事,敷地乗り入れ養生・安全対策追加分等,式,272952,401700,※物件別設定
220003,ガス工事,,式,117810,169950,※新規追加
230001,コーディネート費用,200㎡未満,式,35000,50000,
230002,設計申請費,確認申請・長期優良住宅・住宅性能評価・BELS 申請費,式,854000,1220000,
